Date,Total,year,month,quarter
2014-01-01,916519.0,2014,1,1
2014-02-01,823291.0,2014,2,1
2014-03-01,909888.0,2014,3,1
2014-04-01,910632.0,2014,4,2
2014-05-01,910640.0,2014,5,2
2014-06-01,914189.0,2014,6,2
2014-07-01,950505.0,2014,7,3
2014-08-01,932104.0,2014,8,3
2014-09-01,914615.0,2014,9,3
2014-10-01,969245.0,2014,10,4
2014-11-01,877472.0,2014,11,4
2014-12-01,950673.0,2014,12,4
2015-01-01,937515.0,2015,1,1
2015-02-01,849419.0,2015,2,1
2015-03-01,958622.0,2015,3,1
2015-04-01,941092.0,2015,4,2
2015-05-01,920886.0,2015,5,2
2015-06-01,941088.0,2015,6,2
2015-07-01,993266.0,2015,7,3
2015-08-01,962281.0,2015,8,3
2015-09-01,944687.0,2015,9,3
2015-10-01,982132.0,2015,10,4
2015-11-01,924836.0,2015,11,4
2015-12-01,982132.0,2015,12,4
2016-01-01,949857.0,2016,1,1
2016-02-01,918127.0,2016,2,1
2016-03-01,1014486.0,2016,3,1
2016-04-01,956139.0,2016,4,2
2016-05-01,975049.0,2016,5,2
2016-06-01,991872.0,2016,6,2
2016-07-01,1039846.0,2016,7,3
2016-08-01,1040043.0,2016,8,3
2016-09-01,1041580.0,2016,9,3
2016-10-01,1060187.0,2016,10,4
2016-11-01,1025774.0,2016,11,4
2016-12-01,1066786.0,2016,12,4
2017-01-01,1045222.0,2017,1,1
2017-02-01,944987.0,2017,2,1
2017-03-01,1087112.0,2017,3,1
2017-04-01,1004563.0,2017,4,2
2017-05-01,1062301.0,2017,5,2
2017-06-01,1016833.0,2017,6,2
2017-07-01,1014157.0,2017,7,3
2017-08-01,1074680.0,2017,8,3
2017-09-01,1002690.0,2017,9,3
2017-10-01,1056022.0,2017,10,4
2017-11-01,1018182.0,2017,11,4
2017-12-01,1018360.0,2017,12,4
2018-01-01,1056387.0,2018,1,1
2018-02-01,939172.0,2018,2,1
2018-03-01,1061017.0,2018,3,1
2018-04-01,1021438.0,2018,4,2
2018-05-01,1060650.0,2018,5,2
2018-06-01,1020032.0,2018,6,2
2018-07-01,1036138.0,2018,7,3
2018-08-01,1077829.0,2018,8,3
2018-09-01,981695.0,2018,9,3
2018-10-01,1077594.0,2018,10,4
2018-11-01,1018126.0,2018,11,4
2018-12-01,1017035.0,2018,12,4
2019-01-01,1055806.0,2019,1,1
2019-02-01,929764.0,2019,2,1
2019-03-01,1036216.0,2019,3,1
2019-04-01,1043593.0,2019,4,2
2019-05-01,1065361.0,2019,5,2
2019-06-01,1004431.0,2019,6,2
2019-07-01,1063521.0,2019,7,3
2019-08-01,1065622.0,2019,8,3
2019-09-01,1006618.0,2019,9,3
2019-10-01,1085285.0,2019,10,4
